iter	Passed	Remaining
780	2304	646
781	2309	643
782	2312	640
783	2315	637
784	2318	635
785	2324	632
786	2327	629
787	2330	626
788	2333	624
789	2338	621
790	2341	618
791	2344	615
792	2348	613
793	2351	610
794	2357	607
795	2360	604
796	2362	601
797	2365	598
798	2367	595
799	2371	592
800	2373	589
801	2375	586
802	2377	583
803	2380	580
804	2382	577
805	2386	574
806	2389	571
807	2391	568
808	2393	565
809	2396	562
810	2398	558
811	2402	556
812	2404	553
813	2407	550
814	2409	547
815	2411	543
816	2414	540
817	2418	538
818	2420	535
819	2423	531
820	2425	528
821	2427	525
822	2429	522
823	2433	519
824	2436	516
825	2439	513
826	2441	510
827	2443	507
828	2445	504
829	2450	501
830	2452	498
831	2455	495
832	2457	492
833	2459	489
834	2461	486
835	2465	483
836	2468	480
837	2470	477
838	2472	474
839	2475	471
840	2477	468
841	2481	465
842	2484	462
843	2486	459
844	2488	456
845	2491	453
846	2493	450
847	2497	447
848	2500	444
849	2503	441
850	2505	438
851	2507	435
852	2512	432
853	2514	429
854	2517	426
855	2519	423
856	2521	420
857	2523	417
858	2528	415
859	2531	412
860	2534	409
861	2537	406
862	2540	403
863	2544	400
864	2546	397
865	2549	394
866	2552	391
867	2557	388
868	2560	386
869	2563	383
870	2566	380
871	2568	377
872	2573	374
873	2576	371
874	2579	368
875	2582	365
876	2585	362
877	2590	360
878	2593	357
879	2596	354
880	2599	351
881	2602	348
882	2606	345
883	2609	342
884	2612	339
885	2615	336
886	2620	333
887	2623	330
888	2626	327
889	2629	324
890	2632	321
891	2636	319
892	2639	316
893	2642	313
894	2647	310
895	2652	307
896	2655	304
897	2658	301
898	2661	299
899	2664	296
900	2669	293
901	2672	290
902	2675	287
903	2678	284
904	2680	281
905	2686	278
906	2688	275
907	2690	272
908	2692	269
909	2695	266
910	2697	263
911	2701	260
912	2704	257
913	2706	254
914	2708	251
915	2711	248
916	2713	245
917	2717	242
918	2720	239
919	2722	236
920	2724	233
921	2726	230
922	2729	227
923	2732	224
924	2735	221
925	2738	218
926	2740	215
927	2743	212
928	2747	210
929	2750	207
930	2752	204
931	2754	200
932	2757	198
933	2759	194
934	2763	192
935	2766	189
936	2768	186
937	2771	183
938	2773	180
939	2777	177
940	2781	174
941	2783	171
942	2785	168
943	2787	165
944	2790	162
945	2793	159
946	2796	156
947	2798	153
948	2801	150
949	2803	147
950	2805	144
951	2808	141
952	2812	138
953	2814	135
954	2817	132
955	2819	129
956	2821	126
957	2823	123
958	2827	120
959	2829	117
960	2831	114
961	2834	111
962	2836	108
963	2838	105
964	2842	103
965	2844	100
966	2847	97
967	2849	94
968	2851	91
969	2853	88
970	2858	85
971	2861	82
972	2863	79
973	2865	76
974	2868	73
975	2870	70
976	2874	67
977	2876	64
978	2879	61
979	2881	58
980	2884	55
981	2886	52
982	2890	49
983	2892	47
984	2894	44
985	2896	41
986	2899	38
987	2901	35
988	2905	32
989	2907	29
990	2910	26
991	2912	23
992	2914	20
993	2916	17
994	2920	14
995	2923	11
996	2926	8
997	2928	5
998	2930	2
999	2932	0
